Genre,Genre ID,Artist
Pop,g.115,Michael Jackson
Pop,g.115,Madonna
Pop,g.115,Bruno Mars
Pop,g.115,Elton John
Pop,g.115,Taylor Swift
Pop,g.115,Rihanna
Pop,g.115,Justin Bieber
Pop,g.115,Adele
Pop,g.115,Maroon 5
Pop,g.115,Lady Gaga
Pop,g.115,Ed Sheeran
Pop,g.115,Harry Styles
Pop,g.115,Britney Spears
Pop,g.115,OneRepublic
Pop,g.115,Katy Perry
Pop,g.115,benny blanco
Pop,g.115,Lizzo
Pop,g.115,Flo Rida
Pop,g.115,Calvin Harris
Pop,g.115,Sam Smith
Rock,g.5,Queen
Rock,g.5,Fleetwood Mac
Rock,g.5,The Beatles
Rock,g.5,Kate Bush
Rock,g.5,Led Zeppelin
Rock,g.5,Tom Petty
Rock,g.5,Aerosmith
Rock,g.5,The Rolling Stones
Rock,g.5,Eagles
Rock,g.5,AC/DC
Rock,g.5,Journey
Rock,g.5,Ed Sheeran
Rock,g.5,Pink Floyd
Rock,g.5,Red Hot Chili Peppers
Rock,g.5,Chicago
Rock,g.5,Kid Rock
Rock,g.5,Bruce Springsteen
Rock,g.5,Guns N' Roses
Rock,g.5,Elton John
Rock,g.5,Van Halen
Alternative,g.33,Imagine Dragons
Alternative,g.33,Nirvana
Alternative,g.33,Coldplay
Alternative,g.33,twenty one pilots
Alternative,g.33,U2
Alternative,g.33,Billie Eilish
Alternative,g.33,Foo Fighters
Alternative,g.33,Green Day
Alternative,g.33,Panic! at the Disco
Alternative,g.33,Talking Heads
Alternative,g.33,Weezer
Alternative,g.33,Pearl Jam
Alternative,g.33,Halsey
Alternative,g.33,Sia
Alternative,g.33,Fall Out Boy
Alternative,g.33,Gorillaz
Alternative,g.33,Mumford & Sons
Alternative,g.33,Glass Animals
Alternative,g.33,R.E.M.
Alternative,g.33,The Cure
Hip-Hop/Rap,g.146,Eminem
Hip-Hop/Rap,g.146,2Pac
Hip-Hop/Rap,g.146,Megan Thee Stallion
Hip-Hop/Rap,g.146,Snoop Dogg
Hip-Hop/Rap,g.146,Lil Wayne
Hip-Hop/Rap,g.146,Drake
Hip-Hop/Rap,g.146,French Montana
Hip-Hop/Rap,g.146,The Notorious B.I.G.
Hip-Hop/Rap,g.146,Kendrick Lamar
Hip-Hop/Rap,g.146,Juice WRLD
Hip-Hop/Rap,g.146,Roddy Ricch
Hip-Hop/Rap,g.146,YG
Hip-Hop/Rap,g.146,50 Cent
Hip-Hop/Rap,g.146,Kodak Black
Hip-Hop/Rap,g.146,Kanye West
Hip-Hop/Rap,g.146,Post Malone
Hip-Hop/Rap,g.146,DJ Khaled
Hip-Hop/Rap,g.146,JAY-Z
Hip-Hop/Rap,g.146,Dr. Dre
Hip-Hop/Rap,g.146,NAV
Christmas,g.120,Mariah Carey
Christmas,g.120,Pentatonix
Christmas,g.120,Michael Bublé
Christmas,g.120,Frank Sinatra
Christmas,g.120,Elvis Presley
Christmas,g.120,Dean Martin
Christmas,g.120,Andy Williams
Christmas,g.120,Bing Crosby
Christmas,g.120,Kelly Clarkson
Christmas,g.120,Wham!
Christmas,g.120,Nat King Cole
Christmas,g.120,The Jackson 5
Christmas,g.120,Jose Feliciano
Christmas,g.120,Trans-Siberian Orchestra
Christmas,g.120,Perry Como
Christmas,g.120,The Ronettes
Christmas,g.120,Christmas Hits
Christmas,g.120,Ariana Grande
Christmas,g.120,Vince Guaraldi
Christmas,g.120,Brenda Lee
R&B/Soul,g.194,The Weeknd
R&B/Soul,g.194,Stevie Wonder
R&B/Soul,g.194,Prince
R&B/Soul,g.194,Beyoncé
R&B/Soul,g.194,Marvin Gaye
R&B/Soul,g.194,Usher
R&B/Soul,g.194,"Earth, Wind & Fire"
R&B/Soul,g.194,The Isley Brothers
R&B/Soul,g.194,Chris Brown
R&B/Soul,g.194,Mary J. Blige
R&B/Soul,g.194,Mariah Carey
R&B/Soul,g.194,Doja Cat
R&B/Soul,g.194,R. Kelly
R&B/Soul,g.194,Alicia Keys
R&B/Soul,g.194,Trust'N
R&B/Soul,g.194,Rihanna
R&B/Soul,g.194,The Commodores
R&B/Soul,g.194,Janet Jackson
R&B/Soul,g.194,The Temptations
R&B/Soul,g.194,Khalid
Country,g.407,Chris Stapleton
Country,g.407,Eric Church
Country,g.407,Jason Aldean
Country,g.407,Tim McGraw
Country,g.407,Zac Brown Band
Country,g.407,Alan Jackson
Country,g.407,George Strait
Country,g.407,Blake Shelton
Country,g.407,Luke Bryan
Country,g.407,Morgan Wallen
Country,g.407,Luke Combs
Country,g.407,Kenny Chesney
Country,g.407,Toby Keith
Country,g.407,Dierks Bentley
Country,g.407,Miranda Lambert
Country,g.407,Johnny Cash
Country,g.407,Sam Hunt
Country,g.407,Florida Georgia Line
Country,g.407,Brooks & Dunn
Country,g.407,Thomas Rhett
Jazz,g.299,Miles Davis
Jazz,g.299,George Benson
Jazz,g.299,"Grover Washington, Jr."
Jazz,g.299,Norah Jones
Jazz,g.299,Louis Armstrong
Jazz,g.299,Nina Simone
Jazz,g.299,John Coltrane
Jazz,g.299,Quincy Jones
Jazz,g.299,Nat King Cole
Jazz,g.299,Herbie Hancock
Jazz,g.299,Boney James
Jazz,g.299,Ella Fitzgerald
Jazz,g.299,Kenny G
Jazz,g.299,Soul II Soul
Jazz,g.299,Duke Ellington
Jazz,g.299,Ray Charles
Jazz,g.299,George Duke
Jazz,g.299,Gregory Porter
Jazz,g.299,Billie Holiday
Jazz,g.299,Al Jarreau
Dance/Electronica,g.71,Pistonp
Dance/Electronica,g.71,Arasounds
Dance/Electronica,g.71,The Chainsmokers
Dance/Electronica,g.71,DJ Snake
Dance/Electronica,g.71,Marshmello
Dance/Electronica,g.71,Swedish House Mafia
Dance/Electronica,g.71,Ava Max
Dance/Electronica,g.71,Klod Rights
Dance/Electronica,g.71,Tiësto
Dance/Electronica,g.71,Major Lazer
Dance/Electronica,g.71,Clean Bandit
Dance/Electronica,g.71,Harbant
Dance/Electronica,g.71,Dynamic Waves
Dance/Electronica,g.71,Skrillex
Dance/Electronica,g.71,Daft Punk
Dance/Electronica,g.71,2 Touch
Dance/Electronica,g.71,Moby
Dance/Electronica,g.71,Martin Garrix
Dance/Electronica,g.71,Paolo Barbato
Dance/Electronica,g.71,Regard
Latin,g.510,Bad Bunny
Latin,g.510,Becky G
Latin,g.510,Daddy Yankee
Latin,g.510,Enrique Iglesias
Latin,g.510,Luis Fonsi
Latin,g.510,Shakira
Latin,g.510,Santana
Latin,g.510,Karol G
Latin,g.510,J Balvin
Latin,g.510,Don Omar
Latin,g.510,Marc Anthony
Latin,g.510,Selena
Latin,g.510,Farruko
Latin,g.510,Ricky Martin
Latin,g.510,Vicente Fernández
Latin,g.510,Cypress Hill
Latin,g.510,Baby Bash
Latin,g.510,J Balvin & Willy William
Latin,g.510,Romeo Santos
Latin,g.510,Maluma
World,g.488,WizKid
World,g.488,Israel Kamakawiwo'ole
World,g.488,Redbone
World,g.488,Burna Boy
World,g.488,CKay
World,g.488,Branko La Pallada
World,g.488,Dnk
World,g.488,BTS
World,g.488,Harry Belafonte
World,g.488,Kres
World,g.488,Jinox Ak
World,g.488,Rema
World,g.488,Gipsy Kings
World,g.488,Nature Al Listic
World,g.488,Davido
World,g.488,Celtic Woman
World,g.488,Los del Rio
World,g.488,Baha Men
World,g.488,Umx
World,g.488,Rocio
Reggae,g.383,Spice
Reggae,g.383,Bob Marley
Reggae,g.383,Sean Paul
Reggae,g.383,UB40
Reggae,g.383,Shaggy
Reggae,g.383,Bob Marley & The Wailers
Reggae,g.383,Rihanna
Reggae,g.383,Damian Marley
Reggae,g.383,Sean Kingston
Reggae,g.383,Ini Kamoze
Reggae,g.383,Beenie Man
Reggae,g.383,Matisyahu
Reggae,g.383,Stick Figure
Reggae,g.383,Rebelution
Reggae,g.383,Jimmy Cliff
Reggae,g.383,Buju Banton
Reggae,g.383,Shabba Ranks
Reggae,g.383,Wayne Wonder
Reggae,g.383,Peter Tosh
Reggae,g.383,Ziggy Marley
Classical,g.21,Wolfgang Amadeus Mozart
Classical,g.21,Johann Sebastian Bach
Classical,g.21,Ludwig van Beethoven
Classical,g.21,Lindsey Stirling
Classical,g.21,Yo-Yo Ma
Classical,g.21,Frederic Chopin
Classical,g.21,Andrea Bocelli
Classical,g.21,Yokuki Namishu
Classical,g.21,Jozef Miklaus
Classical,g.21,Claude Debussy
Classical,g.21,Antonio Vivaldi
Classical,g.21,Pavle Popov
Classical,g.21,Luciano Pavarotti
Classical,g.21,Pyotr Ilyich Tchaikovsky
Classical,g.21,Nils Frahm
Classical,g.21,The Piano Guys
Classical,g.21,Isaac Shepard
Classical,g.21,Ludovico Einaudi
Classical,g.21,Alaya
Classical,g.21,Blanc
Oldies,g.4,Elvis Presley
Oldies,g.4,The Beach Boys
Oldies,g.4,The Rolling Stones
Oldies,g.4,Jimi Hendrix
Oldies,g.4,The Animals
Oldies,g.4,Roy Orbison
Oldies,g.4,The Monkees
Oldies,g.4,The Hollies
Oldies,g.4,Van Morrison
Oldies,g.4,Chuck Berry
Oldies,g.4,The Drifters
Oldies,g.4,Dion
Oldies,g.4,Tommy James and the Shondells
Oldies,g.4,The Zombies
Oldies,g.4,The Mamas & The Papas
Oldies,g.4,The Turtles
